Age,Gender,Experience,Education,Interview Score,Test Score,Salary
24,f,11,PhD,6,6,6000
28,m,13,PhD,7,6,6000
24,f,11,PhD,7,6,6000
30,m,13,PhD,7,7,6000
25,f,11,PhD,6,7,6000
30,f,12,PhD,7,7,6000
28,f,12,PhD,8,7,6000
27,f,12,PhD,6,7,6000
27,f,13,PhD,6,7,6000
26,f,12,PhD,6,7,6000
31,m,14,PhD,8,7,6000
27,m,10,PhD,5,7,6000
30,f,12,PhD,6,7,6000
31,f,11,PhD,8,7,6000
31,m,14,PhD,6,7,6000
24,m,11,PhD,7,7,6000
28,f,8,PhD,6,7,6000
28,f,11,PhD,6,7,6000
27,m,10,PhD,7,7,6000
28,m,11,PhD,7,7,6000
27,m,13,PhD,8,8,6000
26,f,12,PhD,8,8,6000
29,f,12,PhD,8,8,6000
23,f,13,PhD,8,8,6000
31,f,11,PhD,7,8,6000
27,f,11,PhD,7,8,6000
25,m,12,PhD,7,8,6000
28,m,10,PhD,8,8,6000
25,f,11,PhD,7,8,6000
29,f,11,PhD,6,8,6000
24,f,11,PhD,8,8,6000
29,m,13,PhD,8,8,6000
29,f,12,PhD,7,8,6000
26,m,13,PhD,8,8,6000
27,m,14,PhD,7,8,6000
29,f,12,PhD,8,8,6000
23,m,13,PhD,7,8,6000
26,m,11,PhD,8,8,6000
27,m,11,PhD,7,8,6000
26,m,9,PhD,7,8,6000
27,m,11,PhD,8,8,6000
28,f,11,PhD,8,8,6000
24,f,8,PhD,9,8,6000
29,f,9,PhD,7,8,6000
26,m,9,PhD,8,8,6000
29,m,12,PhD,8,8,6000
26,m,12,Ma,7,8,6000
27,m,10,PhD,6,8,6000
34,m,12,PhD,8,8,6000
26,f,12,PhD,8,8,6000
32,m,13,PhD,8,8,6000
30,m,12,PhD,7,8,6000
27,m,10,PhD,9,8,6000
30,f,11,PhD,9,8,6000
28,m,8,PhD,7,8,6000
30,f,14,PhD,7,8,6000
27,m,11,PhD,8,8,6000
28,f,11,PhD,7,8,6000
27,m,11,PhD,9,8,6000
25,m,12,PhD,7,8,6000
30,m,11,PhD,7,8,6000
25,m,13,PhD,7,8,6000
27,m,11,PhD,8,8,6000
29,f,14,PhD,8,9,6000
30,m,12,PhD,7,9,6000
26,f,13,PhD,8,9,6000
28,f,10,PhD,9,9,6000
30,m,13,PhD,9,9,6000
25,f,14,PhD,7,9,6000
29,f,12,PhD,7,9,6000
26,f,13,PhD,7,9,6000
28,m,13,PhD,7,9,6000
29,f,14,PhD,7,9,6000
26,m,13,PhD,8,9,6000
27,m,12,PhD,8,9,6000
31,f,14,PhD,6,9,6000
